name,mad,job_name,alpha,unique_num,metal,smi_num,eqlig,axlig1,axlig2,eq_con,ax_con1,ax_con2,ligcharge,oxstate,spinmult,flag_oct_loose,flag_conv,geo_use,ss_use,ss_label,ss_del,ss_target,ss_actual,flag_oct,flag_list,flag_init,flag_list_init,num_coord_metal,rmsd_max,oct_angle_devi_max,max_del_sig_angle,dist_del_eq,dist_del_all,devi_linear_avrg,devi_linear_max
co_3_eq_[NH]=[O]_ax1_[NH]=[O]_ax2_[NH]=[O]_ahf_20_5,neutralMono,gen_0_slot_487_3_3_155_155_155_20_5,20,487,co,3_155_155_155,[NH]=[O],[NH]=[O],[NH]=[O],-1,-1,-1,0,3,5,0,0,1,0,1,0.026757,6.0,6.026757,0,num_coord_metal,1,None,4,-1,-1,-1,-1,-1,-1,-1
undef,rs1,1227_mn_3_eq_16_ax1_9_ax2_39_5,20,1227,mn,mn_carbonyl_pyr_furan,carbonyl,pyr,furan,-1,-1,-1,0,3,5,0,1,1,1,1,0.056587,6.0,6.056587,0,num_coord_metal,1,None,5,-1,-1,-1,-1,-1,-1,-1
mn_2_eq_[SH]-[NH]-[NH]-[SH]_ax1_[SH]-[NH]-[NH]-[SH]_ax2_[SH]-[NH]-[NH]-[SH]_ahf_20_2,neutralBi,gen_0_slot_578_1_2_132_132_132_20_2,20,578,mn,1_132_132_132,[SH]-[NH]-[NH]-[SH],[SH]-[NH]-[NH]-[SH],[SH]-[NH]-[NH]-[SH],-1,-1,-1,0,2,2,1,1,1,1,1,0.065241,0.75,0.815241,1,None,1,None,6,0.197027087,4.685256359,8.155232379,0.029646682,0.077145565,0,0
cr_3_eq_[O]=[NH]_ax1_[O]=[NH]_ax2_[O]=[NH]_ahf_20_4,neutralMono,gen_0_slot_689_0_3_241_241_241_20_4,20,689,cr,0_241_241_241,[O]=[NH],[O]=[NH],[O]=[NH],-1,-1,-1,0,3,4,0,0,1,0,0,1.324452,3.75,5.074452,0,num_coord_metal,1,None,5,-1,-1,-1,-1,-1,-1,-1
co_2_eq_[NH]-[CH2]-[CH2]-[NH]_ax1_[NH]-[CH2]-[CH2]-[NH]_ax2_[NH]-[CH2]-[CH2]-[NH]_ahf_20_2,neutralBi,gen_0_slot_174_3_2_35_35_35_20_2,20,174,co,3_35_35_35,[NH]-[CH2]-[CH2]-[NH],[NH]-[CH2]-[CH2]-[NH],[NH]-[CH2]-[CH2]-[NH],-1,-1,-1,0,2,2,0,1,1,1,1,0.007601999999999999,0.75,0.757602,0,rmsd_max,1,None,6,lig_mismatch,4.671200075,8.253656419,0.059473425,0.177047485,0,0
undef,rs1,1004_cr_2_eq_3_ax1_3_ax2_16_1,20,1004,cr,cr_water_water_carbonyl,water,water,carbonyl,-1,-1,-1,0,2,1,1,1,1,0,0,1.326659,0.0,1.326659,1,None,1,None,6,0.00295717,4.166839231,8.283354738,0.040290876,0.07115391,0.716040082,0.716040082
cr_2_eq_[N]#[P]_ax1_[N]#[P]_ax2_[N]#[P]_ahf_20_5,neutralMono,gen_0_slot_520_0_2_166_166_166_20_5,20,520,cr,0_166_166_166,[N]#[P],[N]#[P],[N]#[P],-1,-1,-1,0,2,5,1,1,1,1,1,0.025205,6.0,6.025205000000001,1,None,1,None,6,0.003867552,0.452543174,0.648451396,0.000571662,0.367445004,1.122762932,1.684270251
mn_3_eq_[O]=[PH]_ax1_[O]=[PH]_ax2_[O]=[PH]_ahf_20_5,neutralMono,gen_0_slot_707_1_3_245_245_245_20_5,20,707,mn,1_245_245_245,[O]=[PH],[O]=[PH],[O]=[PH],-1,-1,-1,0,3,5,1,1,1,1,1,0.22513000000000002,6.0,6.22513,1,None,1,None,6,0.019442154,3.224693007,4.500040115,0.023045566,0.159956165,0,0
undef,rs1,1056_cr_2_eq_9_ax1_18_ax2_39_5,20,1056,cr,cr_pyr_misc_furan,pyr,misc,furan,-1,-1,-1,0,2,5,0,1,1,1,1,0.014948,6.0,6.014948,0,num_coord_metal,1,None,5,-1,-1,-1,-1,-1,-1,-1
fe_3_eq_[O]=[CH3-]_ax1_[O]=[CH3-]_ax2_[O]=[CH3-]_ahf_20_2,chargedMono,gen_0_slot_557_2_3_239_239_239_20_2,20,557,fe,2_239_239_239,[O]=[CH3-],[O]=[CH3-],[O]=[CH3-],-1,-1,-1,-6,3,2,1,1,1,1,1,0.11202000000000001,0.75,0.8620200000000001,1,None,1,None,6,0.081507975,2.224821867,2.929852049,0.005180052,0.016827073,0,0
mn_3_eq_[S+]-[CH3]_ax1_[S+]-[CH3]_ax2_[S+]-[CH3]_ahf_20_5,chargedMono,gen_0_slot_1131_1_3_325_325_325_20_5,20,1131,mn,1_325_325_325,[S+]-[CH3],[S+]-[CH3],[S+]-[CH3],-1,-1,-1,6,3,5,0,0,1,1,0,6.091198,6.0,12.091198,0,num_coord_metal,1,None,0,-1,-1,-1,-1,-1,-1,-1
fe_3_eq_[OH-]-[O]-[O]-[OH-]_ax1_[OH-]-[O]-[O]-[OH-]_ax2_[OH-]-[O]-[O]-[OH-]_ahf_20_6,chargedBi,gen_0_slot_101_2_3_59_59_59_20_6,20,101,fe,2_59_59_59,[OH-]-[O]-[O]-[OH-],[OH-]-[O]-[O]-[OH-],[OH-]-[O]-[O]-[OH-],-1,-1,-1,-12,3,6,0,0,1,0,0,1.061331,8.75,9.811331,0,rmsd_max,1,None,6,lig_mismatch,3.268381909,4.039168821,0.01660453,0.037613918,0,0
cr_2_eq_[P+]=[PH2-]_ax1_[P+]=[PH2-]_ax2_[P+]=[PH2-]_ahf_20_5,neutralMono,gen_0_slot_744_0_2_251_251_251_20_5,20,744,cr,0_251_251_251,[P+]=[PH2-],[P+]=[PH2-],[P+]=[PH2-],-1,-1,-1,0,2,5,0,0,1,0,0,1.745266,6.0,7.745266,0,num_coord_metal,1,None,4,-1,-1,-1,-1,-1,-1,-1
mn_2_eq_[OH]-[NH3-]_ax1_[OH]-[NH3-]_ax2_[OH]-[NH3-]_ahf_20_2,chargedMono,gen_0_slot_522_1_2_227_227_227_20_2,20,522,mn,1_227_227_227,[OH]-[NH3-],[OH]-[NH3-],[OH]-[NH3-],-1,-1,-1,-6,2,2,0,0,1,0,0,1.993065,0.75,2.743065,0,rmsd_max,1,None,6,lig_mismatch,12.28043216,17.89377544,0.163620582,0.532520064,0,0
co_2_eq_[NH2-]=[CH2]_ax1_[NH2-]=[CH2]_ax2_[NH2-]=[CH2]_ahf_20_2,chargedMono,gen_0_slot_254_3_2_124_124_124_20_2,20,254,co,3_124_124_124,[NH2-]=[CH2],[NH2-]=[CH2],[NH2-]=[CH2],-1,-1,-1,-6,2,2,0,0,1,1,0,2.363039,0.75,3.113039,0,num_coord_metal,1,None,5,-1,-1,-1,-1,-1,-1,-1
